Id,SalePrice
0,20738.58239
1,20275.72698
2,20738.58239
3,20738.58239
4,20738.58239
5,20738.58239
6,20738.58239
7,20738.58239
8,20738.58239
9,20738.58239
10,30802.05784
11,20738.58239
12,20738.58239
13,20738.58239
14,20738.58239
15,20738.58239
16,20738.58239
17,20738.58239
18,20738.58239
19,20738.58239
20,20738.58239
21,20738.58239
22,20738.58239
23,20738.58239
24,20738.58239
25,20738.58239
26,20738.58239
27,20738.58239
28,20738.58239
29,20738.58239
30,20738.58239
31,20275.72698
32,20738.58239
33,20463.68561
34,20738.58239
35,30802.05784
36,20738.58239
37,30802.05784
38,30802.05784
39,20738.58239
40,30802.05784
41,20738.58239
42,20738.58239
43,20738.58239
44,20738.58239
45,20738.58239
46,30802.05784
47,30802.05784
48,30802.05784
49,20738.58239
50,20738.58239
51,20738.58239
52,20738.58239
53,20738.58239
54,30802.05784
55,30802.05784
56,20738.58239
57,20738.58239
58,20738.58239
59,30802.05784
60,30802.05784
61,20275.72698
62,30802.05784
63,20738.58239
64,30802.05784
65,30802.05784
66,30802.05784
67,20738.58239
68,20275.72698
69,20275.72698
70,20275.72698
71,20275.72698
72,30802.05784
73,30802.05784
74,20738.58239
75,30802.05784
76,20738.58239
77,20275.72698
78,20275.72698
79,30802.05784
80,20275.72698
81,30802.05784
82,20275.72698
83,30802.05784
84,30802.05784
85,30802.05784
86,30802.05784
87,20275.72698
88,20738.58239
89,30802.05784
90,20275.72698
91,30802.05784
92,20275.72698
93,20738.58239
94,20738.58239
95,20275.72698
96,20738.58239
97,20738.58239
98,20738.58239
99,20275.72698
100,20738.58239
101,20738.58239
102,20738.58239
103,20738.58239
104,20738.58239
105,20275.72698
106,20275.72698
107,20738.58239
108,20275.72698
109,20738.58239
110,20738.58239
111,20738.58239
112,20738.58239
113,20275.72698
114,20738.58239
115,20738.58239
116,20738.58239
117,20738.58239
118,20738.58239
119,20738.58239
120,20738.58239
121,20275.72698
122,20738.58239
123,20738.58239
124,20738.58239
125,20738.58239
